SERVICE STAFF,SEN PORTER/ATTENDANT,1,"€41,472"
SERVICE STAFF,SEN PORTER/ATTENDANT,2,"€41,678"
SERVICE STAFF,SEN PORTER/ATTENDANT,3,"€41,873"
SERVICE STAFF,SEN PORTER/ATTENDANT,4,"€41,984"
SERVICE STAFF,SEN PORTER/ATTENDANT,5,"€42,103"
SERVICE STAFF,SEN PORTER/ATTENDANT,6,"€42,213"
SERVICE STAFF,SEN PORTER/ATTENDANT,7,"€42,325"
SERVICE STAFF,SEN PORTER/ATTENDANT,8,"€42,445"
SERVICE STAFF,SEN PORTER/ATTENDANT,9,"€42,563"
SERVICE STAFF,SEN PORTER/ATTENDANT,10,"€42,689"
SERVICE STAFF,SEN PORTER/ATTENDANT,11,"€42,813"
SERVICE STAFF,SEN PORTER/ATTENDANT,12,"€42,936"
SERVICE STAFF,SEN PORTER/ATTENDANT,13,"€43,069"
SERVICE STAFF,PORTER/ATTENDANT,1,"€36,456"
SERVICE STAFF,PORTER/ATTENDANT,2,"€37,227"
SERVICE STAFF,PORTER/ATTENDANT,3,"€39,454"
SERVICE STAFF,PORTER/ATTENDANT,4,"€39,644"
SERVICE STAFF,PORTER/ATTENDANT,5,"€39,821"
SERVICE STAFF,PORTER/ATTENDANT,6,"€39,919"
SERVICE STAFF,PORTER/ATTENDANT,7,"€40,032"
SERVICE STAFF,PORTER/ATTENDANT,8,"€40,032"
SERVICE STAFF,PORTER/ATTENDANT,9,"€40,032"
SERVICE STAFF,PORTER/ATTENDANT,10,"€40,032"
SERVICE STAFF,PORTER/ATTENDANT,11,"€40,099"
SERVICE STAFF,PORTER/ATTENDANT,12,"€40,214"
SERVICE STAFF,PORTER/ATTENDANT,13,"€40,327"
SERVICE STAFF,PORTER/ATTENDANT,14,"€40,440"
SERVICE STAFF,PORTER/ATTENDANT,15,"€40,552"
SERVICE STAFF,GROUNDS SUPERVISOR,1,"€40,712"
SERVICE STAFF,GROUNDS SUPERVISOR,2,"€40,895"
SERVICE STAFF,GROUNDS SUPERVISOR,3,"€41,086"
SERVICE STAFF,GROUNDS SUPERVISOR,4,"€41,188"
SERVICE STAFF,GROUNDS SUPERVISOR,5,"€41,295"
SERVICE STAFF,GROUNDS SUPERVISOR,6,"€41,402"
SERVICE STAFF,GROUNDS SUPERVISOR,7,"€41,498"
SERVICE STAFF,GROUNDS SUPERVISOR,8,"€41,609"
SERVICE STAFF,GROUNDS SUPERVISOR,9,"€41,720"
SERVICE STAFF,GROUNDS SUPERVISOR,10,"€41,828"
SERVICE STAFF,GROUNDS SUPERVISOR,11,"€41,944"
SERVICE STAFF,GROUNDS SUPERVISOR,12,"€42,060"
SERVICE STAFF,GROUNDS SUPERVISOR,13,"€42,165"
SERVICE STAFF,GROUNDSWORKPERSON,1,"€35,063"
SERVICE STAFF,GROUNDSWORKPERSON,2,"€35,795"
SERVICE STAFF,GROUNDSWORKPERSON,3,"€38,451"
SERVICE STAFF,GROUNDSWORKPERSON,4,"€38,637"
SERVICE STAFF,GROUNDSWORKPERSON,5,"€38,810"
SERVICE STAFF,GROUNDSWORKPERSON,6,"€38,906"
SERVICE STAFF,GROUNDSWORKPERSON,7,"€39,009"
SERVICE STAFF,GROUNDSWORKPERSON,8,"€39,104"
SERVICE STAFF,GROUNDSWORKPERSON,9,"€39,206"
SERVICE STAFF,GROUNDSWORKPERSON,10,"€39,304"
SERVICE STAFF,GROUNDSWORKPERSON,11,"€39,415"
SERVICE STAFF,GROUNDSWORKPERSON,12,"€39,522"
SERVICE STAFF,GROUNDSWORKPERSON,13,"€39,632"
SERVICE STAFF,GROUNDSWORKPERSON,14,"€39,744"
SERVICE STAFF,GROUNDSWORKPERSON,15,"€39,861"
SERVICE STAFF,SENIOR AIDE,1,"€40,827"
SERVICE STAFF,SENIOR AIDE,2,"€41,026"
SERVICE STAFF,SENIOR AIDE,3,"€41,209"
SERVICE STAFF,SENIOR AIDE,4,"€41,317"
SERVICE STAFF,SENIOR AIDE,5,"€41,420"
SERVICE STAFF,SENIOR AIDE,6,"€41,534"
SERVICE STAFF,SENIOR AIDE,7,"€41,635"
SERVICE STAFF,SENIOR AIDE,8,"€41,745"
SERVICE STAFF,SENIOR AIDE,9,"€41,859"
SERVICE STAFF,SENIOR AIDE,10,"€41,975"
SERVICE STAFF,SENIOR AIDE,11,"€42,089"
SERVICE STAFF,SENIOR AIDE,12,"€42,206"
SERVICE STAFF,SENIOR AIDE,13,"€42,318"
SERVICE STAFF,GROUNDSWORKPERSON MACHINE ATTENDANT,1,"€35,829"
SERVICE STAFF,GROUNDSWORKPERSON MACHINE ATTENDANT,2,"€36,585"
SERVICE STAFF,GROUNDSWORKPERSON MACHINE ATTENDANT,3,"€39,300"
SERVICE STAFF,GROUNDSWORKPERSON MACHINE ATTENDANT,4,"€39,493"
SERVICE STAFF,GROUNDSWORKPERSON MACHINE ATTENDANT,5,"€39,671"
SERVICE STAFF,GROUNDSWORKPERSON MACHINE ATTENDANT,6,"€39,864"
SERVICE STAFF,GROUNDSWORKPERSON MACHINE ATTENDANT,7,"€39,874"
SERVICE STAFF,GROUNDSWORKPERSON MACHINE ATTENDANT,8,"€39,979"
SERVICE STAFF,GROUNDSWORKPERSON MACHINE ATTENDANT,9,"€40,085"
SERVICE STAFF,GROUNDSWORKPERSON MACHINE ATTENDANT,10,"€40,085"
SERVICE STAFF,GROUNDSWORKPERSON MACHINE ATTENDANT,11,"€40,085"
SERVICE STAFF,GROUNDSWORKPERSON MACHINE ATTENDANT,12,"€40,085"
SERVICE STAFF,GROUNDSWORKPERSON MACHINE ATTENDANT,13,"€40,172"
SERVICE STAFF,GROUNDSWORKPERSON MACHINE ATTENDANT,14,"€40,286"
SERVICE STAFF,GROUNDSWORKPERSON MACHINE ATTENDANT,15,"€40,401"
SERVICE STAFF,SERVICE STAFF,1,"€35,974"
SERVICE STAFF,SERVICE STAFF,2,"€36,736"
SERVICE STAFF,SERVICE STAFF,3,"€39,461"
SERVICE STAFF,SERVICE STAFF,4,"€39,657"
SERVICE STAFF,SERVICE STAFF,5,"€39,836"
SERVICE STAFF,SERVICE STAFF,6,"€39,933"
SERVICE STAFF,SERVICE STAFF,7,"€40,040"
SERVICE STAFF,SERVICE STAFF,8,"€40,040"
SERVICE STAFF,SERVICE STAFF,9,"€40,040"
SERVICE STAFF,SERVICE STAFF,10,"€40,040"
SERVICE STAFF,SERVICE STAFF,11,"€40,113"
SERVICE STAFF,SERVICE STAFF,12,"€40,226"
SERVICE STAFF,SERVICE STAFF,13,"€40,336"
SERVICE STAFF,SERVICE STAFF,14,"€40,451"
SERVICE STAFF,SERVICE STAFF,15,"€40,566"
SERVICE STAFF,SERVICE STAFF SHIFT,1,"€37,129"
SERVICE STAFF,SERVICE STAFF SHIFT,2,"€37,898"
SERVICE STAFF,SERVICE STAFF SHIFT,3,"€40,388"
SERVICE STAFF,SERVICE STAFF SHIFT,4,"€40,578"
SERVICE STAFF,SERVICE STAFF SHIFT,5,"€40,761"
SERVICE STAFF,SERVICE STAFF SHIFT,6,"€40,861"
SERVICE STAFF,SERVICE STAFF SHIFT,7,"€40,973"
SERVICE STAFF,SERVICE STAFF SHIFT,8,"€41,074"
SERVICE STAFF,SERVICE STAFF SHIFT,9,"€41,179"
SERVICE STAFF,SERVICE STAFF SHIFT,10,"€41,284"
SERVICE STAFF,SERVICE STAFF SHIFT,11,"€41,392"
SERVICE STAFF,SERVICE STAFF SHIFT,12,"€41,506"
SERVICE STAFF,SERVICE STAFF SHIFT,13,"€41,613"
SERVICE STAFF,SERVICE STAFF SHIFT,14,"€41,733"
SERVICE STAFF,SERVICE STAFF SHIFT,15,"€41,846"
SERVICE STAFF,PLANT MAINTENANCE AIDE,1,"€40,053"
SERVICE STAFF,PLANT MAINTENANCE AIDE,2,"€43,995"
SERVICE STAFF,GROUNDS FOREPERSON,1,"€49,333"
SERVICE STAFF,GROUNDS FOREPERSON,2,"€50,369"
SERVICE STAFF,GROUNDS FOREPERSON,3,"€51,204"
SERVICE STAFF,GROUNDS FOREPERSON,4,"€52,137"
SERVICE STAFF,GROUNDS FOREPERSON,5,"€53,117"
SERVICE STAFF,GROUNDS FOREPERSON,6,"€54,078"
